name,agu,district,code
"VIVEKANANDA HSS, CHANGANKULANGARA, KOLLAM",U,2,2129
"GOVT. BHSS, ADOOR, PATHANAMTHITTA",G,3,3001
"GOVT. HSS, CHITTAR, VADASSERIKARA,",G,3,3002
"GOVT. HSS, EZHUMATTOOR, PATHANAMTHITTA",G,3,3003
"GOVT.HSS, KADAMMANITTA, PATHANAMTHITTA",G,3,3004
"K S GOVT HSS, KADAPRA, PATHANAMTHITTA",G,3,3005
"GOVT HSS, KALANJOOR, PATHANAMTHITTA",G,3,3006
"GOVT HSS, VECHOOCHIRA COLONY, PATHANAMTHITTA",G,3,3007
"GOVT HSS, THOTTAKONAM, PATHANAMTHITTA",G,3,3008
"GOVT HSS KONNI, PATHANAMTHITTA",G,3,3009
"GOVT BOYS HSS,PATHANAMTHITTA,PATHANAMTHITTA",G,3,3010
"GOVT HSS,KOIPPURAM,PATHANAMTHITTA",G,3,3011
"EDAMURI GOVT HSS, RANNI, PATHANAMTHITTA",G,3,3012
"GOVT HSS,OMALLOOR,PATHANAMTHITTA",G,3,3013
"GOVT HSS,KADUMEENCHIRA,PATHANAMTHITTA",G,3,3014
"S C S HSS, THIRUVALLA, PATHANAMTHITTA",A,3,3015
"M G M HSS, THIRUVALLA, PATHANAMTHITTA",A,3,3016
"BALIKAMATOM GHSS, THIRUVALLA, PATHANAMTHITTA",A,3,3017
"C M S HSS, MALLAPPALLY, PATHANAMTHITTA",A,3,3018
"N S S HSS, KUNNANTHANAM, PATHANAMTHITTA",A,3,3019
"S T B C  HSS, CHENGAROOR P O, MALLAPALLY,",A,3,3020
"N S S HSS, THATTAYIL, PATHANAMTHITTA",A,3,3021
"ST. THOMAS, HSS, KOZHANCHERY, PATHANAMTHITTA",A,3,3022
"CATHOLICATE HSS, PATHANAMTHITTA",A,3,3023
"M S HSS, RANNI, PATHANAMTHITTA",A,3,3024
"S C HSS, CHELLAKADU, PATHANMTHITTA",A,3,3025
"S N D P HSS, VENKURINJI, PATHANAMTHITTA",A,3,3026
"N S S HSS, THADIYOOR, PATHANAMTHITTA",A,3,3027
"PADMANABHODAYAM HSS, MEZHUVELI,",A,3,3028
"D B HSS, THIRUVALLA, PATHANAMTHITTA",A,3,3029
"N S S HSS, ADOOR, PATHANAMTHITTA",A,3,3030
"S N V HSS, ANGADICAL SOUTH, PATHANAMTHITTA",A,3,3031
"S N D P HSS, CHENNEERKKARA, PATHANAMTHITTA",A,3,3032
"ABRAHAM M M HSS, EDAYARANMULA,",A,3,3033
"NSS HSS,KAVIYOOR,PATHANAMTHITTA",A,3,3034
"DBHSS,PARUMALA,KADAPRA,PATHANAMTHITTA",A,3,3035
"ST JOHNS HSS, ERAVIPEROOR, PATHANAMTHITTA",A,3,3036
"SNDP HSS,MUTTATHUKONAM,PATHANAMTHITTA",A,3,3037
"ST BEHANAN'S HSS, VENNIKKULAM, TIRUVALA, PATHANAMTHITTA",A,3,3038
"NSS BOYS HSS,PANDALAM,PATHANAMTHITTA",A,3,3039
"MG HSS,THUMPAMON,PATHANAMTHITTA",A,3,3040
"K.R.P.M. HSS, SEETHATHODE, PATHANAMTHITTA",A,3,3041
"PSVPM HSS,AYRAVON,KONNI,PATHANAMTHITTA",A,3,3042
"SNDP HSS, KARAMVELI, ELANTHOOR, PATHANAMTHITTA",A,3,3043
"ST THOMAS HSS,ERUVALLIPRA,PATHANAMTHITTA",A,3,3044
"MT HSS,PATHANAMTHITTA",A,3,3045
"CMS HSS,KUZHIKKALA,PATHANAMTHITTA",A,3,3046
"NSS HSS,CHOORAKODE,PATHANAMTHITTA",A,3,3047
"MANAKKALA CSI HSS(DEAF&DUMB), PATHANAMTHITTA",A,3,3048
"S V G V HSS, KIDANGANNOOR, PATHANAMTHITTA",A,3,3049
